Have you ever feeling lonely or sad,Do you feel Angry?,Do you Smoke?,Do you consume alcohol,Have you have feared with someone,Answers
No,No,No,No,No,You Don’t have any problem.
No,No,No,No,Yes,Listen to some Relaxing Music
No,No,No,Yes,No,Listen to some Relaxing Music
No,No,No,Yes,Yes,Go have chat with your family/friends
No,No,Yes,No,No,Read Some Good books
No,No,Yes,No,Yes,Listen to some Relaxing Music
No,No,Yes,Yes,No,Go For a Short Walk
No,No,Yes,Yes,Yes,Go have chat with your family/friends
No,Yes,No,No,No,Go For a Short Walk
No,Yes,No,No,Yes,Do some Excersise
No,Yes,No,Yes,No,Go For a Short Walk
No,Yes,No,Yes,Yes,Watch Some Comedy Show
No,Yes,Yes,No,No,Do some Excersise
No,Yes,Yes,No,Yes,Go have chat with your family/friends
No,Yes,Yes,Yes,No,Do some Excersise
No,Yes,Yes,Yes,Yes,Watch Some Comedy Show
Yes,No,No,No,No,Listen to some Relaxing Music
Yes,No,No,No,Yes,Read Some Good books
Yes,No,No,Yes,No,Do some Excersise
Yes,No,No,Yes,Yes,Watch Some Comedy Show
Yes,No,Yes,No,No,Go For a Short Walk
Yes,No,Yes,No,Yes,Go have chat with your family/friends
Yes,No,Yes,Yes,No,Do some Excersise
Yes,No,Yes,Yes,Yes,Watch Some Comedy Show
Yes,Yes,No,No,No,Go For a Short Walk
Yes,Yes,No,No,Yes,Listen to some Relaxing Music
Yes,Yes,No,Yes,No,Do some Excersise
Yes,Yes,No,Yes,Yes,Go to Temple or Peaceful place
Yes,Yes,Yes,No,No,Do some Excersise
Yes,Yes,Yes,No,Yes,Watch Some Comedy Show
Yes,Yes,Yes,Yes,No,Go have chat with your family/friends
Yes,Yes,Yes,Yes,Yes,Play with Small Childrens
