Have you take any pilis before it for some purpose?,How frequently have you been bothered by not being able to stop worrying?,Let’s talk about how often you have felt satisfied with yourself over the past X months.,What about your hopes and dreams for the future? What feelings have you had recently about working toward those goals?,Tell me about any important activities or projects that you’ve been involved with recently. How much enjoyment do you get from these?,Answers
No,No,No,No,No,You Don’t have any problem.
No,No,No,No,Yes,Do some yoga like pranayam
No,No,No,Yes,No,keep touch with your hobbies
No,No,No,Yes,Yes,listen to some motivational speech
No,No,Yes,No,No,Read Some Good books
No,No,Yes,No,Yes,go for a short trip
No,No,Yes,Yes,No,try some new things which you never did before this
No,No,Yes,Yes,Yes,"watch some good movies like tare jamin par,super 30"
No,Yes,No,No,No,slove some puzzles
No,Yes,No,No,Yes,Do some Excersise
No,Yes,No,Yes,No,go to the temple
No,Yes,No,Yes,Yes,go the trip with your family or friends
No,Yes,Yes,No,No,Do some Excersise
No,Yes,Yes,No,Yes,keep busy yourself to explore new things
No,Yes,Yes,Yes,No,Do some Excersise
No,Yes,Yes,Yes,Yes,"read some novels(mrutunjay,yayati)"
Yes,No,No,No,No,Listen to some Relaxing Music
Yes,No,No,No,Yes,talk with your close ones
Yes,No,No,Yes,No,slove some puzzles
Yes,No,No,Yes,Yes,try to learn some new  things
Yes,No,Yes,No,No,"play some outdoor games(football,busketball,cricet)"
Yes,No,Yes,No,Yes,keep yourself busy
Yes,No,Yes,Yes,No,Do some meditatiom
Yes,No,Yes,Yes,Yes,concer to the doctor
Yes,Yes,No,No,No,start your day with morning walk
Yes,Yes,No,No,Yes,Listen to some Relaxing Music
Yes,Yes,No,Yes,No,chatch up with your buddies
Yes,Yes,No,Yes,Yes,you have to concern to the doctor
Yes,Yes,Yes,No,No,you need a short theropy
Yes,Yes,Yes,No,Yes,please meet to your family doctor
Yes,Yes,Yes,Yes,No,you need to do theropy for relaxing
Yes,Yes,Yes,Yes,Yes,you must visit a doctor 
